"","Timepoints","Equilibrium","Perturbations"
"978",978,19,20
"979",979,18,20
"980",980,18,19
"981",981,18,19
"982",982,18,19
"983",983,18,19
"984",984,18,19
"985",985,18,19
"986",986,18,19
"987",987,18,19
"988",988,18,19
"989",989,18,20
"990",990,18,20
"991",991,18,20
"992",992,18,20
"993",993,18,20
"994",994,18,20
"995",995,18,20
"996",996,18,20
"997",997,19,20
"998",998,19,20
"999",999,19,20
"1000",1000,19,0
"1001",1001,19,1
"1002",1002,19,1
"1003",1003,19,1
"1004",1004,19,2
"1005",1005,19,2
"1006",1006,19,1
"1007",1007,19,1
"1008",1008,19,1
"1009",1009,19,1
"1010",1010,19,1
"1011",1011,19,1
"1012",1012,19,2
"1013",1013,19,2
"1014",1014,19,2
"1015",1015,19,2
"1016",1016,19,2
"1017",1017,18,2
"1018",1018,18,1
"1019",1019,18,1
"1020",1020,18,1
"1021",1021,18,1
"1022",1022,18,2
"1023",1023,18,3
"1024",1024,18,3
"1025",1025,18,4
"1026",1026,18,5
"1027",1027,18,6
"1028",1028,18,6
"1029",1029,18,7
"1030",1030,18,8
"1031",1031,18,9
"1032",1032,19,9
"1033",1033,19,10
"1034",1034,19,11
"1035",1035,18,11
"1036",1036,18,11
"1037",1037,18,11
"1038",1038,18,11
"1039",1039,19,11
"1040",1040,19,11
"1041",1041,19,11
"1042",1042,19,11
"1043",1043,19,11
"1044",1044,19,12
"1045",1045,19,12
"1046",1046,20,12
"1047",1047,20,12
"1048",1048,20,12
"1049",1049,20,12
"1050",1050,20,12
"1051",1051,20,12
"1052",1052,20,12
"1053",1053,20,12
"1054",1054,20,12
"1055",1055,20,12
"1056",1056,20,12
"1057",1057,20,12
"1058",1058,20,12
"1059",1059,20,12
"1060",1060,20,12
"1061",1061,20,12
"1062",1062,20,12
"1063",1063,20,12
"1064",1064,20,12
"1065",1065,20,11
"1066",1066,20,11
"1067",1067,20,11
"1068",1068,20,11
"1069",1069,20,11
"1070",1070,20,12
"1071",1071,20,12
"1072",1072,20,12
"1073",1073,20,12
"1074",1074,20,12
"1075",1075,19,12
"1076",1076,19,12
"1077",1077,19,12
"1078",1078,19,12
"1079",1079,19,12
"1080",1080,19,12
"1081",1081,19,13
"1082",1082,19,13
"1083",1083,19,13
"1084",1084,19,13
"1085",1085,19,13
"1086",1086,19,13
"1087",1087,19,13
"1088",1088,18,13
"1089",1089,18,13
"1090",1090,18,13
"1091",1091,18,13
"1092",1092,18,13
"1093",1093,18,12
"1094",1094,18,12
"1095",1095,18,12
"1096",1096,18,12
"1097",1097,18,12
"1098",1098,18,12
"1099",1099,18,12
"1100",1100,18,12
"1101",1101,18,12
"1102",1102,18,12
"1103",1103,18,13
"1104",1104,18,13
"1105",1105,18,13
"1106",1106,18,14
"1107",1107,18,15
"1108",1108,18,15
"1109",1109,18,14
"1110",1110,18,14
"1111",1111,17,14
"1112",1112,18,15
"1113",1113,18,15
"1114",1114,18,15
"1115",1115,18,15
"1116",1116,18,15
"1117",1117,18,15
"1118",1118,18,15
"1119",1119,18,15
"1120",1120,18,15
"1121",1121,18,15
"1122",1122,19,15
"1123",1123,19,16
"1124",1124,19,16
"1125",1125,19,16
"1126",1126,19,16
"1127",1127,19,16
"1128",1128,19,16
"1129",1129,19,15
"1130",1130,18,15
"1131",1131,18,15
"1132",1132,18,16
"1133",1133,18,16
"1134",1134,18,16
"1135",1135,18,16
"1136",1136,18,16
"1137",1137,19,16
"1138",1138,19,16
"1139",1139,19,16
"1140",1140,19,16
"1141",1141,19,16
"1142",1142,19,16
"1143",1143,19,16
"1144",1144,20,16
"1145",1145,20,16
"1146",1146,19,16
"1147",1147,20,16
"1148",1148,20,16
"1149",1149,20,16
"1150",1150,20,16
"1151",1151,20,16
"1152",1152,20,15
"1153",1153,20,15
"1154",1154,20,15
"1155",1155,20,15
"1156",1156,20,15
"1157",1157,20,15
"1158",1158,20,15
"1159",1159,20,15
"1160",1160,20,15
"1161",1161,20,15
"1162",1162,20,15
"1163",1163,20,15
"1164",1164,20,15
"1165",1165,20,14
"1166",1166,20,13
"1167",1167,20,12
"1168",1168,20,12
"1169",1169,20,12
"1170",1170,20,12
"1171",1171,20,12
"1172",1172,20,13
"1173",1173,20,13
"1174",1174,20,14
"1175",1175,20,15
"1176",1176,20,14
"1177",1177,20,14
"1178",1178,20,15
"1179",1179,20,15
"1180",1180,20,16
"1181",1181,20,16
"1182",1182,20,16
"1183",1183,20,16
"1184",1184,20,16
"1185",1185,20,17
"1186",1186,20,17
"1187",1187,20,17
"1188",1188,20,17
"1189",1189,20,17
"1190",1190,20,17
"1191",1191,20,18
"1192",1192,20,19
"1193",1193,20,19
"1194",1194,20,19
"1195",1195,20,19
"1196",1196,20,19
"1197",1197,20,19
"1198",1198,20,19
"1199",1199,20,19
"1200",1200,20,19
"1201",1201,19,19
"1202",1202,19,19
"1203",1203,19,20
"1204",1204,19,20
"1205",1205,19,20
"1206",1206,19,20
"1207",1207,19,20
"1208",1208,19,20
"1209",1209,19,20
"1210",1210,19,19
"1211",1211,19,19
"1212",1212,19,19
"1213",1213,18,19
"1214",1214,18,19
"1215",1215,19,19
"1216",1216,19,19
"1217",1217,19,19
"1218",1218,19,19
"1219",1219,19,19
"1220",1220,19,19
"1221",1221,19,19
"1222",1222,19,19
"1223",1223,20,19
"1224",1224,20,19
"1225",1225,19,19
"1226",1226,19,19
"1227",1227,19,19
"1228",1228,19,19
"1229",1229,19,19
"1230",1230,19,19
"1231",1231,19,19
"1232",1232,18,19
"1233",1233,18,19
"1234",1234,18,19
"1235",1235,18,20
"1236",1236,17,20
"1237",1237,17,20
"1238",1238,17,20
"1239",1239,17,20
"1240",1240,17,20
"1241",1241,16,20
"1242",1242,16,20
"1243",1243,16,19
"1244",1244,16,19
"1245",1245,16,19
"1246",1246,16,19
"1247",1247,16,19
"1248",1248,16,20
"1249",1249,16,20
"1250",1250,16,20
"1251",1251,16,20
"1252",1252,16,20
"1253",1253,16,20
"1254",1254,16,20
"1255",1255,16,20
"1256",1256,16,20
"1257",1257,16,20
"1258",1258,17,20
"1259",1259,17,19
"1260",1260,18,19
"1261",1261,18,19
"1262",1262,18,19
"1263",1263,18,19
"1264",1264,18,19
"1265",1265,18,19
"1266",1266,18,19
"1267",1267,18,19
"1268",1268,18,19
"1269",1269,18,19
"1270",1270,18,19
"1271",1271,18,19
"1272",1272,18,19
"1273",1273,18,19
"1274",1274,17,19
"1275",1275,17,19
"1276",1276,17,19
"1277",1277,16,19
"1278",1278,16,19
"1279",1279,16,19
"1280",1280,16,19
"1281",1281,16,19
"1282",1282,17,19
"1283",1283,18,19
"1284",1284,18,19
"1285",1285,17,19
"1286",1286,17,20
"1287",1287,17,20
"1288",1288,17,20
"1289",1289,18,20
"1290",1290,18,20
"1291",1291,18,20
"1292",1292,18,20
"1293",1293,18,20
"1294",1294,18,20
"1295",1295,18,20
"1296",1296,18,20
"1297",1297,18,20
"1298",1298,18,20
"1299",1299,19,20
"1300",1300,19,20
"1301",1301,19,20
"1302",1302,19,20
"1303",1303,19,20
"1304",1304,19,20
"1305",1305,19,20
"1306",1306,19,20
"1307",1307,19,20
"1308",1308,19,20
"1309",1309,19,19
"1310",1310,19,19
"1311",1311,19,19
"1312",1312,18,19
"1313",1313,18,19
"1314",1314,18,19
"1315",1315,18,18
"1316",1316,19,18
"1317",1317,19,18
"1318",1318,19,18
"1319",1319,19,18
"1320",1320,19,18
"1321",1321,19,18
"1322",1322,19,18
"1323",1323,19,19
"1324",1324,19,19
"1325",1325,19,19
"1326",1326,19,19
"1327",1327,19,19
"1328",1328,19,19
"1329",1329,19,19
"1330",1330,19,19
"1331",1331,19,19
"1332",1332,20,19
"1333",1333,20,19
"1334",1334,20,19
"1335",1335,20,19
"1336",1336,20,19
"1337",1337,20,19
"1338",1338,20,18
"1339",1339,20,19
"1340",1340,20,20
"1341",1341,20,20
"1342",1342,20,20
"1343",1343,20,20
"1344",1344,20,20
"1345",1345,20,20
"1346",1346,20,20
"1347",1347,20,20
"1348",1348,20,20
"1349",1349,20,20
"1350",1350,20,20
"1351",1351,20,20
"1352",1352,20,20
"1353",1353,20,20
"1354",1354,20,20
"1355",1355,19,20
"1356",1356,19,20
"1357",1357,20,20
"1358",1358,20,20
"1359",1359,20,20
"1360",1360,20,20
"1361",1361,20,20
"1362",1362,20,20
"1363",1363,20,20
"1364",1364,20,20
"1365",1365,20,20
"1366",1366,20,20
"1367",1367,20,20
"1368",1368,20,20
"1369",1369,20,20
"1370",1370,19,20
"1371",1371,19,20
"1372",1372,19,20
"1373",1373,19,20
"1374",1374,19,20
"1375",1375,19,20
"1376",1376,19,20
"1377",1377,19,20
"1378",1378,19,20
"1379",1379,19,20
"1380",1380,19,20
"1381",1381,19,20
"1382",1382,19,20
"1383",1383,19,19
"1384",1384,19,19
"1385",1385,19,19
"1386",1386,18,19
"1387",1387,18,19
"1388",1388,18,19
"1389",1389,18,19
"1390",1390,18,19
"1391",1391,18,19
"1392",1392,19,18
"1393",1393,19,18
"1394",1394,19,18
"1395",1395,19,18
"1396",1396,19,18
"1397",1397,19,18
"1398",1398,19,18
"1399",1399,19,18
"1400",1400,20,18
"1401",1401,20,18
"1402",1402,20,19
"1403",1403,20,19
"1404",1404,19,19
"1405",1405,19,19
"1406",1406,19,19
"1407",1407,19,19
"1408",1408,19,19
"1409",1409,19,19
"1410",1410,19,19
"1411",1411,19,19
"1412",1412,20,19
"1413",1413,20,19
"1414",1414,20,19
"1415",1415,20,19
"1416",1416,20,19
"1417",1417,20,19
"1418",1418,20,19
"1419",1419,20,19
"1420",1420,19,19
"1421",1421,19,19
"1422",1422,20,19
"1423",1423,20,19
"1424",1424,20,19
"1425",1425,20,19
"1426",1426,20,19
"1427",1427,20,19
"1428",1428,20,19
"1429",1429,20,19
"1430",1430,20,19
"1431",1431,20,19
"1432",1432,20,19
"1433",1433,20,19
"1434",1434,20,19
"1435",1435,20,18
"1436",1436,20,18
"1437",1437,20,18
"1438",1438,20,18
"1439",1439,20,18
"1440",1440,20,18
"1441",1441,20,18
"1442",1442,20,18
"1443",1443,20,18
"1444",1444,20,18
"1445",1445,20,18
"1446",1446,20,18
"1447",1447,20,18
"1448",1448,20,18
