"","Timepoints","Equilibrium","Perturbations"
"588",588,3,5
"589",589,2,5
"590",590,2,5
"591",591,2,4
"592",592,2,4
"593",593,2,4
"594",594,2,3
"595",595,2,3
"596",596,3,3
"597",597,3,3
"598",598,3,4
"599",599,3,4
"600",600,3,4
"601",601,3,4
"602",602,4,3
"603",603,4,3
"604",604,4,3
"605",605,3,3
"606",606,3,3
"607",607,3,3
"608",608,3,3
"609",609,3,3
"610",610,2,3
"611",611,2,3
"612",612,2,3
"613",613,2,3
"614",614,2,3
"615",615,3,3
"616",616,2,4
"617",617,2,4
"618",618,2,4
"619",619,2,4
"620",620,3,4
"621",621,3,4
"622",622,3,4
"623",623,4,4
"624",624,4,3
"625",625,4,3
"626",626,4,3
"627",627,4,3
"628",628,5,3
"629",629,5,3
"630",630,5,3
"631",631,6,3
"632",632,7,2
"633",633,7,2
"634",634,7,2
"635",635,8,2
"636",636,8,2
"637",637,9,2
"638",638,9,2
"639",639,9,2
"640",640,9,2
"641",641,9,2
"642",642,9,2
"643",643,9,2
"644",644,9,2
"645",645,9,2
"646",646,9,2
"647",647,8,2
"648",648,8,2
"649",649,8,2
"650",650,9,2
"651",651,9,3
"652",652,10,3
"653",653,10,3
"654",654,10,3
"655",655,10,4
"656",656,9,4
"657",657,9,4
"658",658,9,4
"659",659,9,4
"660",660,9,4
"661",661,9,4
"662",662,9,4
"663",663,9,4
"664",664,9,4
"665",665,9,4
"666",666,9,5
"667",667,9,5
"668",668,9,5
"669",669,9,4
"670",670,9,4
"671",671,9,4
"672",672,9,4
"673",673,9,4
"674",674,9,4
"675",675,9,3
"676",676,8,3
"677",677,8,3
"678",678,8,2
"679",679,9,2
"680",680,9,2
"681",681,9,2
"682",682,9,2
"683",683,9,2
"684",684,9,2
"685",685,9,2
"686",686,9,2
"687",687,9,1
"688",688,9,1
"689",689,9,1
"690",690,9,1
"691",691,9,1
"692",692,9,1
"693",693,9,1
"694",694,8,1
"695",695,8,0
"696",696,8,0
"697",697,8,0
"698",698,8,0
"699",699,8,0
"700",700,8,0
"701",701,8,0
"702",702,8,0
"703",703,8,0
"704",704,8,0
"705",705,7,0
"706",706,6,0
"707",707,6,0
"708",708,6,0
"709",709,5,1
"710",710,5,1
"711",711,5,1
"712",712,5,1
"713",713,5,1
"714",714,4,1
"715",715,5,1
